player,team,position,games_played,standard_points,half_ppr_points,ppr_points,standard_ppg,standard_pos_rank,standard_ppg_pos_rank,half_ppr_ppg,half_ppr_pos_rank,half_ppr_ppg_pos_rank,ppr_ppg,ppr_pos_rank,ppr_ppg_pos_rank,join_name,join_team
A.J. Brown,NE,WR,1,2.6,4.1,5.6,2.6,72,72,4.1,68,68,5.6,66,66,aj brown,NE
AJ Barner,SEA,TE,1,1.3,2.3,3.3,1.3,41,41,2.3,39,39,3.3,39,39,aj barner,SEA
AJ Dillon,CAR,RB,1,2.8,2.8,2.8,2.8,51,51,2.8,58,58,2.8,59,59,aj dillon,CAR
Aaron Jones,MIN,RB,1,10.0,10.0,10.0,10.0,20,20,10.0,24,24,10.0,26,26,aaron jones,MIN
Aaron Rodgers,PIT,QB,1,12.54,12.54,12.54,12.54,24,24,12.54,24,24,12.54,24,24,aaron rodgers,PIT
Adam Trautman,DEN,TE,1,1.0,2.0,3.0,1.0,47,47,2.0,43,43,3.0,42,42,adam trautman,DEN
Adonai Mitchell,NYJ,WR,1,6.0,7.5,9.0,6.0,37,37,7.5,38,38,9.0,40,40,adonai mitchell,NYJ
Alec Pierce,IND,WR,1,6.1,8.1,10.1,6.1,35,35,8.1,34,34,10.1,34,34,alec pierce,IND
Ameer Abdullah,JAX,RB,1,3.2,3.7,4.2,3.2,47,47,3.7,46,46,4.2,46,46,ameer abdullah,JAX
Amon-Ra St. Brown,DET,WR,1,18.7,23.7,28.7,18.7,5,5,23.7,4,4,28.7,4,4,amon ra st brown,DET
Andrei Iosivas,CIN,WR,1,1.2,2.2,3.2,1.2,88,88,2.2,88,88,3.2,86,86,andrei iosivas,CIN
Andrew Ogletree,IND,TE,1,0.0,0.0,0.0,0.0,61,61,0.0,64,64,0.0,64,64,andrew ogletree,IND
Antonio Williams,WAS,WR,1,12.4,14.399999999999999,16.4,12.4,14,14,14.399999999999999,14,14,16.4,15,15,antonio williams,WAS
Arian Smith,NYJ,WR,1,0.0,0.0,0.0,0.0,106,106,0.0,108,108,0.0,108,108,arian smith,NYJ
Ashton Dulin,IND,WR,1,0.0,0.0,0.0,0.0,107,107,0.0,109,109,0.0,109,109,ashton dulin,IND
Ashton Jeanty,LV,RB,1,26.7,29.700000000000003,32.7,26.7,5,5,29.700000000000003,5,5,32.7,4,4,ashton jeanty,LV
Baker Mayfield,TB,QB,1,11.64,11.64,11.64,11.64,26,26,11.64,26,26,11.64,26,26,baker mayfield,TB
Barion Brown,NO,WR,1,0.3,0.3,0.3,0.3,103,103,0.3,107,107,0.3,107,107,barion brown,NO
Bauer Sharp,TB,TE,1,0.0,0.0,0.0,0.0,62,62,0.0,65,65,0.0,65,65,bauer sharp,TB
Ben VanSumeren,KC,RB,1,0.0,0.0,0.0,0.0,75,75,0.0,76,76,0.0,76,76,ben vansumeren,KC
Bhayshul Tuten,JAX,RB,1,8.8,9.3,9.8,8.8,24,24,9.3,25,25,9.8,28,28,bhayshul tuten,JAX
Bijan Robinson,ATL,RB,1,23.3,27.3,31.3,23.3,7,7,27.3,7,7,31.3,6,6,bijan robinson,ATL
Blake Corum,LA,RB,1,5.4,5.4,5.4,5.4,36,36,5.4,40,40,5.4,41,41,blake corum,LA
Blake Whiteheart,CLE,TE,1,1.4,1.9,2.4,1.4,39,39,1.9,44,44,2.4,45,45,blake whiteheart,CLE
Bo Melton,GB,WR,1,1.0,1.5,2.0,1.0,93,93,1.5,93,93,2.0,94,94,bo melton,GB
Bo Nix,DEN,QB,1,5.44,5.44,5.44,5.44,31,31,5.44,31,31,5.44,31,31,bo nix,DEN
Brady Russell,SEA,RB,1,2.0,3.0,4.0,2.0,59,59,3.0,54,54,4.0,49,49,brady russell,SEA
Braelon Allen,NYJ,RB,1,4.0,4.0,4.0,4.0,42,42,4.0,44,44,4.0,50,50,braelon allen,NYJ
Braxton Berrios,NYG,WR,1,0.0,0.0,0.0,0.0,108,108,0.0,110,110,0.0,110,110,braxton berrios,NYG
Breece Hall,NYJ,RB,1,17.8,18.8,19.8,17.8,12,12,18.8,12,12,19.8,13,13,breece hall,NYJ
Brenton Strange,JAX,TE,1,8.3,9.3,10.3,8.3,13,13,9.3,13,13,10.3,14,14,brenton strange,JAX
Brevyn Spann-Ford,DAL,TE,1,1.4,2.4,3.4,1.4,40,40,2.4,38,38,3.4,38,38,brevyn spann ford,DAL
Brian Robinson,ATL,RB,1,3.1,3.1,3.1,3.1,48,48,3.1,52,52,3.1,55,55,brian robinson,ATL
Brian Thomas Jr.,JAX,WR,1,4.0,5.5,7.0,4.0,53,53,5.5,58,58,7.0,57,57,brian thomas,JAX
Britain Covey,PHI,WR,1,0.0,0.0,0.0,0.0,109,109,0.0,111,111,0.0,111,111,britain covey,PHI
Brock Purdy,SF,QB,1,21.1,21.1,21.1,21.1,10,10,21.1,10,10,21.1,10,10,brock purdy,SF
Brock Wright,DET,TE,1,0.5,1.0,1.5,0.5,56,56,1.0,56,56,1.5,57,57,brock wright,DET
Bryce Lance,NO,WR,1,4.2,5.7,7.2,4.2,51,51,5.7,57,57,7.2,54,54,bryce lance,NO
Bryce Young,CAR,QB,1,31.44,31.44,31.44,31.44,3,3,31.44,3,3,31.44,3,3,bryce young,CAR
Brycen Tremayne,CAR,WR,1,0.0,0.0,0.0,0.0,110,110,0.0,112,112,0.0,112,112,brycen tremayne,CAR
Bucky Irving,TB,RB,1,13.3,16.8,20.3,13.3,15,15,16.8,13,13,20.3,12,12,bucky irving,TB
C.J. Stroud,HOU,QB,1,16.46,16.46,16.46,16.46,16,16,16.46,16,16,16.46,16,16,cj stroud,HOU
CJ Donaldson,NO,RB,1,0.2,0.7,1.2,0.2,73,73,0.7,67,67,1.2,65,65,cj donaldson,NO
Cade Otton,TB,TE,1,2.6,4.1,5.6,2.6,27,27,4.1,26,26,5.6,25,25,cade otton,TB
Cade Stover,HOU,TE,1,-0.2,0.30000000000000004,0.8,-0.2,78,78,0.30000000000000004,62,62,0.8,63,63,cade stover,HOU
Caleb Douglas,MIA,WR,1,9.4,11.9,14.4,9.4,23,23,11.9,23,23,14.4,22,22,caleb douglas,MIA
Caleb Williams,CHI,QB,1,37.26,37.26,37.26,37.26,1,1,37.26,1,1,37.26,1,1,caleb williams,CHI
Cam Skattebo,NYG,RB,1,14.1,14.1,14.1,14.1,13,13,14.1,15,15,14.1,18,18,cam skattebo,NYG
Cam Ward,TEN,QB,1,11.7,11.7,11.7,11.7,25,25,11.7,25,25,11.7,25,25,cam ward,TEN
Carnell Tate,TEN,WR,1,3.8,5.8,7.8,3.8,55,55,5.8,54,54,7.8,51,51,carnell tate,TEN
Carsen Ryan,CLE,TE,1,0.0,0.0,0.0,0.0,63,63,0.0,66,66,0.0,66,66,carsen ryan,CLE
